,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
70,CHEMBL430798,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,441.43100000000015,3.346400000000002,0.0,7.0,7.2839966563652006
71,CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.372,3.0839000000000016,0.0,2.0,5.149999867728904
72,CHEMBL603,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,575.6870000000001,5.695920000000005,2.0,6.0,5.0
73,CHEMBL120055,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,392.5030000000002,2.705120000000001,2.0,4.0,5.0
74,CHEMBL28902,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)cc1,503.0050000000001,7.679920000000005,0.0,4.0,5.0
75,CHEMBL160581,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4cccc5ccccc45)CC3)cc12,428.5360000000001,3.549900000000002,2.0,4.0,6.0
76,CHEMBL31714,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3nc4cc(F)ccc4s3)c2)cc1,492.5790000000001,7.2271200000000055,0.0,5.0,5.0
77,CHEMBL19331,Oc1ccc2c(c1)CCN2,135.166,1.3601999999999996,2.0,2.0,5.987162775294828
78,CHEMBL2303762,OC[C@H]1O[C@H](Oc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)[C@H](O)[C@H](O)[C@H]1O,433.45700000000005,-0.29400000000000015,7.0,9.0,5.616184634019569
79,CHEMBL349034,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,383.5150000000002,3.798700000000003,1.0,5.0,7.102372908709558
80,CHEMBL164792,COc1ccccc1N1CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)CC1,395.5510000000001,3.6682000000000023,1.0,6.0,8.00436480540245
81,CHEMBL331077,CN(C)CC1CC2c3ccccc3Cc3ccncc3N2O1,295.386,2.7990000000000013,0.0,4.0,5.720000163638921
82,CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,294.398,3.4040000000000026,0.0,3.0,6.060001790087838
83,CHEMBL315772,CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,328.8430000000001,4.057400000000003,0.0,3.0,8.059981844992336
84,CHEMBL331188,CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1,295.386,2.7990000000000013,0.0,4.0,6.0
85,CHEMBL553331,Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O,508.5730000000002,2.5092,0.0,5.0,7.366531544420414
86,CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.6690000000001,7.217600000000008,0.0,3.0,7.214670164989233
87,CHEMBL338611,Cn1c(=O)c2c(ncn2CCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)n(C)c1=O,471.6050000000002,3.3679000000000023,0.0,4.0,7.3872161432802645
88,CHEMBL558226,COc1cc(N)c(Cl)cc1C(=O)NC1C2CC3CN(C2)CC31,321.80800000000016,1.6107000000000002,2.0,4.0,5.0
89,CHEMBL67555,COc1cc(N)c(Cl)cc1C(=O)NCC12CC3CN(CC3C1)C2,335.83500000000015,2.0023999999999997,2.0,4.0,5.0
90,CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.4880000000001,4.826600000000004,0.0,6.0,6.958607314841775
91,CHEMBL110362,NC1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,255.317,2.5032000000000005,3.0,3.0,6.0
92,CHEMBL225230,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,295.382,3.630100000000003,2.0,3.0,15.0
93,CHEMBL355149,CN1C2CCC1CC(NC(=O)c1cnn3ccccc13)C2,284.36300000000006,1.6892999999999994,1.0,3.0,5.0
94,CHEMBL267044,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,341.4330000000001,0.5567000000000012,2.0,5.0,16.69897000433602
95,CHEMBL350972,CN1C2CCC1CC(OC(=O)c1cnn3ccccc13)C2,285.3470000000001,2.1163,0.0,4.0,5.0
96,CHEMBL26736,NC1CCc2cc(O)c(O)cc2C1,179.21899999999997,0.9137999999999997,3.0,3.0,16.397940008672037
97,CHEMBL225230,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,295.382,3.630100000000003,2.0,3.0,18.0
